Country,Rank
France,1
Belgium,2
Switzerland,3
Canada,4
Saint Martin (French part),5
New Caledonia,6
French Polynesia,7
French Guiana,8
Guadeloupe,9
Réunion,10
United States,11
United Kingdom,12
Australia,13
New Zealand,14
Ireland,15
Germany,16
Italy,17
Japan,18
Sweden,19
Netherlands,20
Spain,21
Brazil,22
Finland,23
Russia,24
Norway,25
Poland,26
Denmark,27
South Korea,28
Argentina,29
Austria,30
Mexico,31
Hungary,32
Greece,33
Colombia,34
Türkiye,35
Israel,36
South Africa,37
India,38
Portugal,39
Czechia,40
Jamaica,41
Puerto Rico,42
Philippines,43
Romania,44
Indonesia,45
Ukraine,46
Chile,47
Serbia,48
Estonia,49
Slovenia,50
China,51
Croatia,52
Iceland,53
Slovakia,54
Taiwan,55
Cuba,56
Bulgaria,57
Lithuania,58
Venezuela,59
Peru,60
Dominican Republic,61
Malaysia,62
Nigeria,63
Iran,64
Latvia,65
Singapore,66
Egypt,67
Uruguay,68
Thailand,69
Belarus,70
Morocco,71
Ghana,72
Lebanon,73
Bangladesh,74
Bosnia and Herzegovina,75
Algeria,76
Democratic Republic of the Congo,77
Mali,78
Pakistan,79
Panama,80
Soviet Union,81
Armenia,82
Vietnam,83
Yugoslavia,84
Senegal,85
Trinidad and Tobago,86
Ecuador,87
North Macedonia,88
Kenya,89
Georgia,90
East Germany,91
Costa Rica,92
Malta,93
Tunisia,94
Angola,95
Luxembourg,96
Moldova,97
Azerbaijan,98
Kazakhstan,99
Haiti,100
Sri Lanka,101
Guatemala,102
Cyprus,103
Zimbabwe,104
Cameroon,105
Bolivia,106
Albania,107
Kingdom of the Netherlands,108
Zambia,109
Côte d'Ivoire,110
Ethiopia,111
Martinique,112
Czechoslovakia,113
Faroe Islands,114
Madagascar,115
Mauritius,116
Myanmar,117
Cape Verde,118
Tanzania,119
Guinea,120
Palestine,121
El Salvador,122
Mongolia,123
Bahamas,124
Barbados,125
Jordan,126
Benin,127
Montenegro,128
Mozambique,129
Niger,130
Sudan,131
Syria,132
United Arab Emirates,133
Uzbekistan,134
Burkina Faso,135
Uganda,136
Iraq,137
Kosovo,138
Paraguay,139
Honduras,140
Nepal,141
Nicaragua,142
Rwanda,143
Saudi Arabia,144
Greenland,145
Afghanistan,146
Botswana,147
U.S. Virgin Islands,148
Cambodia,149
Congo,150
Bahrain,151
Gabon,152
Gambia,153
Isle of Man,154
Kuwait,155
Liechtenstein,156
Monaco,157
Sierra Leone,158
Belize,159
Gibraltar,160
Jersey,161
Malawi,162
Togo,163
Dominica,164
Grenada,165
Guernsey,166
Libya,167
Mauritania,168
Namibia,169
Anguilla,170
Aruba,171
Bermuda,172
Comoros,173
Guyana,174
Papua New Guinea,175
San Marino,176
Solomon Islands,177
Andorra,178
Burundi,179
Cayman Islands,180
Curaçao,181
Guinea-Bissau,182
Kyrgyzstan,183
Sao Tome and Principe,184
South Sudan,185
Suriname,186
Western Sahara,187
Åland Islands,188
Antigua and Barbuda,189
British Virgin Islands,190
Chad,191
Djibouti,192
Fiji,193
Maldives,194
Montserrat,195
North Korea,196
Saint Vincent and The Grenadines,197
Samoa,198
Seychelles,199
Somalia,200
Tajikistan,201
Turkmenistan,202
Vatican City,203
Yemen,204
American Samoa,205
"Bonaire, Sint Eustatius and Saba",206
Central African Republic,207
Cook Islands,208
Eritrea,209
Eswatini,210
Laos,211
Liberia,212
Northern Mariana Islands,213
Oman,214
Qatar,215
Saint Barthélemy,216
Saint Kitts and Nevis,217
Saint Lucia,218
Saint Pierre and Miquelon,219
Sint Maarten (Dutch part),220
Somaliland,221
Timor-Leste,222
Vanuatu,223
