itemId,label,deezerID,musicBrainzID,discogsID,spotifyID
Q391348,Imagine Dragons,416239,012151a8-0f9a-44c9-997f-ebd68b5389f9,2727700,53XhwfbYqKCa1cC15pYq2q
Q55008483,Naps,4842061,ce155ad5-afc8-4398-bf38-c99f02cd0814,6717192,6W5uA6CNMf3hd2j4a2XWCx
Q313453,Stromae,310260,ab2528d9-719f-4261-8098-21849222a0f2,1277429,5j4HeCoUlzhfWtjAfM1acR
Q21091667,Vald,5175734,062ab94e-b7a5-47a9-b3f4-cc1750c3f859,3279763,3CnCGFxXbOA8bAK54jR8js
Q19848,Lady Gaga,75491,650e7db6-b795-4eb5-a702-5ea2fc46c848,1525683,1HY2Jd0NmPuamShAr6KMms
Q19848,Lady Gaga,75491,650e7db6-b795-4eb5-a702-5ea2fc46c848,1103159,1HY2Jd0NmPuamShAr6KMms
Q36844,Rihanna,564,73e5e69d-3554-40d8-8516-00cb38737a1c,321128,5pKCCKE2ajJHZ9KAiaK11H
Q36844,Rihanna,564,73e5e69d-3554-40d8-8516-00cb38737a1c,1986565,5pKCCKE2ajJHZ9KAiaK11H
Q26255308,Damso,9197980,71ff695e-896a-4043-aea4-93eadde08d09,4723212,2UwqpfQtNuhBwviIC0f2ie
Q60373974,Koba LaD,14621667,52315221-8b06-4fb1-bfd3-16057aa4f9e1,6741091,1q7T9rFQ2a2ukA1PU51fo3
Q2121062,The Weeknd,4050205,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,2171152,1Xyo4u8uXC1ZmMpatF05PJ
Q4734521,Alonzo,259729,9ff87295-bdfc-46fc-b605-456cc39d84ca,401150,2z2TRvloJt4EfUNQp9rHAi
Q4734521,Alonzo,259729,9ff87295-bdfc-46fc-b605-456cc39d84ca,460590,2z2TRvloJt4EfUNQp9rHAi
Q19897862,Nekfeu,1412564,d721866d-5640-44ee-87f7-23dd062abd8a,2167404,4LXBc13z5EWsc5N32bLxfH
Q181484,Sia,3469,2f548675-008d-4332-876c-108b0c7ab9c5,21991,5WUlDfRSoLAfcVSX1WnrxN
Q181484,Sia,3469,2f548675-008d-4332-876c-108b0c7ab9c5,44758,5WUlDfRSoLAfcVSX1WnrxN
Q642477,Booba,390,785c0e9c-89f6-4bf4-8296-443a46632d62,245750,58wXmynHaAWI5hwlPZP3qL
Q21914464,Dua Lipa,8706544,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,4357593,6M2wZ9GZgrQXHCFfjv46we
Q24689203,Niska,5288900,e369e789-6f07-4ce8-a70f-e136bc57bf3b,3958584,7CUFPNi1TU8RowpnFRSsZV
Q48964824,Soolking,10189104,530a9937-4229-4d7e-8457-4853d7d5dd7a,6318005,0GgY7hjMoGDsX8ZDe2mwds
Q24286772,SCH,162665,070a4a70-705b-41ba-a30a-cac559c781f8,4470776,2kXKa3aAFngGz2P4GjG5w2
Q45192617,Angèle,1042268,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,5226023,3QVolfxko2UyCOtexhVTli
Q65153697,PLK,1479842,55304866-1b79-4365-a6b1-961c95e9fc57,6457184,3DCWeG2J1fZeu0Oe6i5Q6m
Q1372291,Soprano,13011,e52815f0-0db9-49b2-acb7-1af6b2dfa936,225194,2RJBv9wXbW6m539q9NOfW1
Q33017850,Lomepal,5111084,5386511f-b7bd-4058-9b5e-2c5dc426e1c9,2815922,1Yfe3ONJlioHys7jwHdfVm
Q5608,NA,13,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,38661,7dGJo4pcD2V6oG8kP0tJRR
Q16730480,Jul,1191615,8e6c44df-06fc-4852-83d0-ef0efed6630a,3756920,3IW7ScrzXmPvZhB27hmfgy
Q8298,David Guetta,542,302bd7b9-d012-4360-897a-93b00c855680,36527,1Cs0zKBU1kc0i8ypK3B9ai
Q8298,David Guetta,542,302bd7b9-d012-4360-897a-93b00c855680,2653737,1Cs0zKBU1kc0i8ypK3B9ai
Q41789930,Ninho,5542343,41fe37a6-f4bb-4340-9c14-e2c8e5d854f1,4723220,6Te49r3A6f5BiIgBRxH7FH
Q60835535,Maes,4448630,74def643-c770-470d-a0b5-21c0fa60069e,6717171,6L34dW6SKMSDaGIfYDU19j
Q44746097,Hamza,171998,6a2244c9-3122-454e-b83d-b23e2968884e,4257695,5gs4Sm2WQUkcGeikMcVHbh
Q43251682,Dadju,4803754,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,3568763,4sbXXFzEWJY2zsZjelerjX
Q97178211,Tayc,12526056,0c980a2b-ca09-4d04-ad80-e7c2ce9621fb,7504301,7gU9VyFRN3JWPJ5oHOil60
Q2813374,Orelsan,259467,6cad3ce5-6380-4594-a8da-ae7d273b683d,1409627,4FpJcNgOvIpSBeJgRg3OfN
Q2813374,Orelsan,259467,6cad3ce5-6380-4594-a8da-ae7d273b683d,3572885,4FpJcNgOvIpSBeJgRg3OfN
Q55128479,Clara Luciani,4889156,a6386935-e6ee-4aaa-aaa8-70f56b79bc29,2872588,2oVrruuEI0Dr2I4NvLtQS0
Q104671539,Leto,455796,635e50a0-3c8f-4675-a0e6-9e3555cc4e0a,124566,6HCBnyTBSLdb3TFn2ayulY
Q107427536,Gazo,8873540,dae7d996-38fe-4578-bf75-1e2510f522bb,8136520,5gqmbbfjcikQBzPB5Hv13I
Q110409381,Tiakola,13918545,2bd0c272-dd22-4395-8381-18fa2fa59f1e,8050214,3vUMXQ9kPnZAQkMkZZ7Hfh
Q106686959,SDM,604107,ee5acbd5-d291-4fe1-a06a-88060b131b77,8284319,0LKAV3zJ8a8AIGnyc5OvfB
Q115747225,Yanns,NA,f4703541-0e73-411f-a5ff-dc8a0cb972ac,NA,NA
Q14917975,Lacrim,4087782,10df38da-1292-4881-bd96-c6dfead3934b,2707062,7DUTsWY3RBd64vh8UtgtYA
Q3303251,Gims,4429712,b2fbd053-4380-412c-95d2-35c6da8f1011,2365701,0GOx72r5AAEKRGQFn3xqXK
Q37793136,Aya Nakamura,8909272,cf580d82-3f3e-4b86-8874-7e0fbe794f01,4814288,7IlRNXHjoOCgEAWN5qYksg
Q47447,Ed Sheeran,384236,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,2184482,6eUKZXaKkcviH0Ku9w2n3V
Q5105,Céline Dion,198,847e8a0c-cc20-4213-9e16-975515c2a926,19298,4S9EykWXhStSc15wEx8QFK
Q55596640,Dinos,292949,ee782f62-1bdb-4a0b-8fc4-3bf2a8c1f979,3314160,1QPdp5duV6lV4XINCzjwQ2
Q56310938,Timal,74463,b0dfa8b9-cd40-43eb-9472-c02cb1db3297,5550844,2ptKt4yP4mYRZmvi09JYyi
Q65029566,Zola,13962203,3134d99c-a372-424a-9f65-d2dacfdccaba,6717169,54kCbQZaZWHnwwj9VP2hn4
Q85713571,Oboy,4986771,66ffca84-c76f-416b-9371-89ccb7bb9da6,5118720,66Ok6bgC570sHkw08N20pZ
Q86675858,Josman,7365500,d6f204c1-ea79-4ad0-bac3-862faad14130,4229630,6dbdXbyAWk2qx8Qttw0knR
Q96386530,Laylow,4510044,b04c952c-16c4-41ad-bd62-ace5047cdf6e,5750515,0LnhY2fzptb0QEs5Q5gM7S
Q96386530,Laylow,4510044,b04c952c-16c4-41ad-bd62-ace5047cdf6e,7692759,0LnhY2fzptb0QEs5Q5gM7S
Q45188,Coldplay,892,cc197bad-dc9c-440d-a5b5-d52ba2e14234,29735,4gzpq5DPGxSnKTe4SA8HAU
Q24286848,Djadja & Dinaz,9930130,a4ab6bb1-2b7e-4d5f-bad6-dcd6b6daa5d6,5320431,5hREZP0zTQbTLkZ2M8RS4v
Q21403486,PNL,1519461,da04991d-8e8a-43be-9892-1e6342a77410,1190252,3NH8t45zOTqzlZgBvZRjvB
